ID,DATE,TYPE,KIA,WIA,CITY,REGION,COUNTRY,DETAILS,GROUP,REMARKS,TEXT
301,2015 APR 16,HOAX/FALSE,0,0,Kiev,KIEV,UKRAINE,Call reporting IED - First Responders action - no explosive,,"Metro station ""Ploshcha LVA Tolstogo""","Call reporting IED - First Responders action - no explosive Metro station ""Ploshcha LVA Tolstogo"""
122,2015 AUG 20,HOAX/FALSE,0,0,Kiev_,_KIEV,UKRAINE_,Call reporting IED - First Responders action - no explosive,,Metro station in Independence Square,Call reporting IED - First Responders action - no explosive Metro station in Independence Square
545,2014 AUG 07,HOAX/FALSE,0,0,Kiev,KIEV,UKRAINE,Call reporting IED - First Responders action - no explosive,,Metro station Petrovka,Call reporting IED - First Responders action - no explosive Metro station Petrovka
499,2014 SEP 26,HOAX/FALSE,0,0,Kiev,KIEV,UKRAINE,Call reporting IED - First Responders action - no explosive,,Metro Stations –Universitet” and –Syretz”,Call reporting IED - First Responders action - no explosive Metro Stations –Universitet” and –Syretz”
537,2014 AUG 14,HOAX/FALSE,0,0,Kiev,KIEV,UKRAINE,Call reporting IED - First Responders action - no explosive,,"Metro stations –Vok'zalna”, ""Poshtova Ploshcha""","Call reporting IED - First Responders action - no explosive Metro stations –Vok'zalna”, ""Poshtova Ploshcha"""
495,2014 OCT 13,HOAX/FALSE,0,0,Kiev,KIEV,UKRAINE,Call reporting IED - First Responders action - no explosive,,"Metro stations –Vokzalnaya” & ""Universitet""","Call reporting IED - First Responders action - no explosive Metro stations –Vokzalnaya” & ""Universitet"""
298,2015 APR 20,HOAX/FALSE,0,0,Kiev,KIEV,UKRAINE,Call reporting IED - First Responders action - no explosive,,"Metro stations ""Arsenalyana"" & ""Nezalezhnosty""","Call reporting IED - First Responders action - no explosive Metro stations ""Arsenalyana"" & ""Nezalezhnosty"""
506,2014 SEP 20,HOAX/FALSE,0,0,Chernihiv,CHERNIHIV,UKRAINE,Call reporting IED - First Responders action - no explosive,,Military enlistement office & Police station.,Call reporting IED - First Responders action - no explosive Military enlistement office & Police station.
509,2014 SEP 17,HOAX/FALSE,0,0,Lviv,LVIV,UKRAINE,Call reporting IED - First Responders action - no explosive,,"National Guard facility, Stryiskyi Park & Lviv Railway Station","Call reporting IED - First Responders action - no explosive National Guard facility, Stryiskyi Park & Lviv Railway Station"
106,2015 AUG 31,HOAX/FALSE,0,0,Kiev_,_KIEV,UKRAINE_,Call reporting IED - First Responders action - no explosive,,"Near ""Arsenalnaya"" metro station","Call reporting IED - First Responders action - no explosive Near ""Arsenalnaya"" metro station"
527,2014 SEP 01,HOAX/FALSE,0,0,Odessa,ODESSA,UKRAINE,Call reporting IED - First Responders action - no explosive,,Odessa University,Call reporting IED - First Responders action - no explosive Odessa University
312,2015 APR 10,HOAX/FALSE,0,0,Kiev,KIEV,UKRAINE,Call reporting IED - First Responders action - no explosive,,Offices of gas companies (JSC Ukrtransgaz & Naftogaz),Call reporting IED - First Responders action - no explosive Offices of gas companies (JSC Ukrtransgaz & Naftogaz)
