id,date,type,text
36,11/7/2015,CACHE/FOUND,Two caches with explosives were discovered 
37,11/6/2015,CACHE/FOUND,Explosives were found inside a garbage container 
38,11/4/2015,CACHE/FOUND,2 Kg of TNT were seized after a search for weapons and ammo 
39,11/3/2015,CACHE/FOUND,Explosives were found hidden in the roof of a house 
40,11/1/2015,UNKNOWN,An IED was used against a night club 
41,10/31/2015,UNKNOWN, Ammunition depot was blown up after an IED detonation It causes the detonation of about 3500 tons of ammunition
42,10/29/2015,CACHE/FOUND,A DNR militant was detained with 100 gr of TNT 
43,10/28/2015,CACHE/FOUND,"Rockets, grenades and explosives were found "
44,10/27/2015,CACHE/FOUND,"A cache with explosives was discovered near a monastery Pokrovsky monastery, University Street"
45,10/26/2015,CACHE/FOUND,9 Kg of TNT and several detonators were seized 
46,10/24/2015,CACHE/FOUND,Detonators and TNT were found 
47,10/22/2015,CACHE/FOUND,Grenades and 400 gr of TNT were found 
48,10/22/2015,CACHE/FOUND,More than 20 Kg of TNT were seized after a search 
49,10/22/2015,UNKNOWN,The detonation of an IED caused injuries to one soldier 
50,10/21/2015,CACHE/FOUND,"Weapons, 1.1 Kg TNT and landmines were found "
51,10/21/2015,UNKNOWN,Detonation of a device inside an apartment 
52,10/20/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Khmelnytsky Boulevard
53,10/20/2015,CACHE/FOUND,"Weapons, ammunition & explosives were discovered in a search "
54,10/19/2015,CACHE/FOUND,"Explosives were found during a search for weapons 20 Kg TNT, 7 m detonating cord & 7 electric detonators"
55,10/19/2015,CACHE/FOUND,Black powder and explosives were seized during a vehicle search 
56,10/18/2015,CACHE/FOUND,2 Kg of TNT were found along with weapons 
57,10/17/2015,UNKNOWN,An IED was detonated in a parking area 
58,10/17/2015,UNKNOWN,A device was blown up against a caf_ 
59,10/16/2015,CACHE/FOUND,Detonators and munitions were found during a search 
60,10/16/2015,CACHE/FOUND,"Weapons, explosives and detonators were discovered "
61,10/15/2015,CACHE/FOUND,Explosives found 
62,10/13/2015,CACHE/FOUND,"Weapons, gunpowder and explosives were found æNot clear if explosives were munition or explosives in fact"
63,10/13/2015,CACHE/FOUND,A man was detained with explosives 11 Kg of plastic explosive along with 5 electric detonators
64,10/12/2015,UNKNOWN,A suspected IED emplacer was killed by his own IED In front of a school
65,10/7/2015,UNKNOWN,Detonation of a device against Poland Consulate It was emplaced inside a garbage can
66,10/7/2015,UNKNOWN,"An IED was blown up against in the railroad Station ""kupiansk-Uzlovy"""
67,10/7/2015,CACHE/FOUND,Some weapons were found along with explosives TNT and plastic explosive
68,10/7/2015,UNKNOWN,A device was blown up against an enlistment office 200 gr TNT equivalent
69,10/7/2015,CACHE/FOUND,Arms dealers were detained: explosives found 
70,10/3/2015,CACHE/FOUND,Explosives and weapons were found 
71,10/5/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive City center
72,10/3/2015,CACHE/FOUND,A man was detained when trying to emplace an IED Against a check point in the road
73,10/2/2015,VOIED,One soldier was killed after the detonation of an IED 
74,10/1/2015,CACHE/FOUND,"One arms dealer was detained in possession of explosives TNT blocks (4,6 Kg)"
75,10/1/2015,CACHE/FOUND,Explosives and detonators were seized 
76,9/30/2015,CACHE/FOUND,Explosives and detonators were seized 
77,9/28/2015,UNKNOWN,"A device was blown up in a railway station In ""Southern Vzryvpaket"" station. Suspect was detained hours later."
78,9/28/2015,UNKNOWN,A device detonated in central railway station Not confirmed
79,9/27/2015,UNKNOWN,"IED attack against the building of UKR Security Service (SBU/???) 5-7  Kg TNT equivalent. It was claimed by ""???????? ????????"""
80,9/26/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Central railway station
81,9/25/2015,CACHE/FOUND,Several IEDs were found protecting a cache withy missiles 
82,9/24/2015,UNKNOWN,An IED blown up during a military tank competition It was hidden inside a combat vehicles battery compartment
83,9/23/2015,VOIED,Several IEDs were found under Ukrainian soldiers corpses 
84,9/22/2015,CACHE/FOUND,3 suspects were detained when r-trying to blow a bridge up Explosives and detonators were seized
85,9/21/2015,CACHE/FOUND,"Explosives found after detention of 4 suspects One complete IED, other explosives and weapons"
86,9/20/2015,CACHE/FOUND,"Explosives were found during vehicle search in a check point Detonating cord, detonators and military ordnance as main charge"
87,9/17/2015,CACHE/FOUND,"A cache with weapons, ammunition and TNT was discovered "
88,9/15/2015,CACHE/FOUND,A large cache of weapons and explosives was discovered 
89,9/14/2015,VOIED,Two women wounded after triggering an IED 
90,9/14/2015,CACHE/FOUND,"4 KG of TNT and other ammunition were found in a warehouse They were packed in white bags marked as ""Novorossiya Aid Foundation"""
91,9/11/2015,UNKNOWN,A device was detonated in a residential area 
92,9/10/2015,CACHE/FOUND,"A man was discovered when trying to plant an IED near a check point Reported as RC switch (mobile phone), 400 gr TNT block as main charge"
93,9/9/2015,CACHE/FOUND,Explosives and weapons were found 
94,9/9/2015,CACHE/FOUND,An IED was found in front of a National Guard Unit Headquarters 400 gr TNT equivalent
95,9/7/2015,CACHE/FOUND,Explosives were found in a cache 
96,9/7/2015,CACHE/FOUND,A cache with weapons and explosives was discovered 
97,9/7/2015,CACHE/FOUND,An IED was found and disposed by emergency services (SSU) 
98,9/7/2015,CACHE/FOUND,A cache was discovered near Artemivsk-Lysychansk road 
99,9/4/2015,PROJECTED,A homemade grenade was blown up in the street 
100,9/4/2015,CACHE/FOUND,Another cache was discovered after investigation 
101,9/3/2015,UNKNOWN,A device detonated affecting two persons 
102,9/3/2015,CACHE/FOUND,A cache was discovered and TNT was found inside 
103,9/3/2015,PROJECTED,A homemade hand grenade was thrown against a business office 
104,9/2/2015,UNKNOWN,A device was blown up causing a fire with the result of a dead man 
105,8/31/2015,UNKNOWN,A soldier of national Guard was killed after a device detonated Possible hand grenade (TBC)
106,8/31/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Near ""Arsenalnaya"" metro station"
107,8/30/2015,CACHE/FOUND,A cache was found in an abandoned factory 33 Kg of TNT
108,8/30/2015,CACHE/FOUND,A cache with explosives and weapons was found  
109,8/29/2015,CACHE/FOUND,A suspect was detained when trying to sell explosives 20 Kg of TNT
110,8/28/2015,CACHE/FOUND,600 gr of TNT were found in a cache along with weapons & ammo 
111,8/28/2015,CACHE/FOUND,"A cache wit weapons and  explosives was found 18x200 gr TNT, 4x400 gr TNT & 24 detonators"
112,8/27/2015,CACHE/FOUND,A suspect was detained. Weapons and TNT were seized 
113,8/27/2015,UNKNOWN,"IED attack against an office of ""Sberbank"" Victory Avenue"
114,8/24/2015,UNKNOWN,"IED attack against gas pipeline ""Moscow-Stavropol"" "
115,8/23/2015,CACHE/FOUND,An IED laboratory was discovered after detention of suspects A complete IED & some components were found
116,8/22/2015,CACHE/FOUND,An IED laboratory was dismantled They were manufacturing TATP & improvised detonators
117,8/22/2015,CACHE/FOUND,IEDs & explosives were found after detention of 2 suspects 
118,8/22/2015,CACHE/FOUND,Flash powder & munitions were found in a suspects home 
119,8/22/2015,CACHE/FOUND,"Explosives were seized during a search 4 Kg TNT, plastic explosive and munitions"
120,8/22/2015,UNKNOWN,Two devices were detonated against a volunteers office Youth Center
121,8/21/2015,CACHE/FOUND,"One suspect was detained in possesion of flash powder In ""Mezhevaya"" train station"
122,8/20/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Metro station in Independence Square
123,8/18/2015,CWIED,A train transporting coal was derailed due to detonation of a device Second IED failed: TM-62M mine & 4x400 gr TNT as main charge
124,8/18/2015,CACHE/FOUND,IED components and schemes found during a detention of suspects 
125,8/17/2015,CACHE/FOUND,Homemade grenade was found in the roof of a kindergarten Novoznerenska St
126,8/17/2015,CACHE/FOUND,A guy was detained with fuzes and detonators inside a backpack Vokzalnaya metro station
127,8/17/2015,CACHE/FOUND,"An urdenbelly IED was found under a car Krasnov St., 100 gr TNT."
128,8/14/2015,CACHE/FOUND,Suspects were detained while laying an IED against the railway 2.5 Kg TNT
129,8/15/2015,CACHE/FOUND,Some explosives were found during the seize of an arsenal 
130,8/13/2015,UNKNOWN,A car was affected by the detonation of an IED The driver died
131,8/13/2015,CACHE/FOUND,A homemade grenade was found in the roof of a kiosk 
132,8/13/2015,CACHE/FOUND,A modified hand grenade was found inside a suspects bag 
133,8/13/2015,CACHE/FOUND,Fuzes and detonators found along with weapons and equipment 
134,8/12/2015,CACHE/FOUND,Cache with explosives was found near a railway station Novomoskov station
135,8/6/2015,UNKNOWN,"An IED was detonated against bar ""BIKINI"" "
136,8/5/2015,CACHE/FOUND,Some guys were detained when trying to sell radioactive material Reported as Uranium 238 by SBU
137,8/4/2015,CACHE/FOUND,"After a shooting, some explosives were found during detentions Detonators, detonating cord and weapons"
138,8/3/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Sumy Street
139,8/2/2015,PROJECTED,"An IED was thrown against the NGO ""Self-Defences of Odessa"" 200 gr TNT-equivalent. Kanatnaya Street. From a motorcycle."
140,8/2/2015,UNKNOWN,A portion of railway was blown up Sentyanivka-Shipilova Stretch (6th attack in the same site)
141,7/29/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Rymarska Street
142,7/28/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive General Prosecutors Office of Ukraine
143,7/28/2015,CACHE/FOUND,A suspect was detained in possesion of explosives and weapons 500 gr TNT and black powder
144,7/28/2015,CACHE/FOUND,A cache was found by members of DONBASS Batallion Some explosives were found along with weapons
145,7/27/2015,CACHE/FOUND,An Ukrainian soldier was detained with some explosives Plastic explosive & fuzes. Forest metro station.
146,7/27/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Dorohozhychi Metro Station 
147,7/23/2015,CACHE/FOUND,Explosives were seized after the detention of 2 criminal groups 5 TNT blocks (200 gr each)
148,7/23/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Regional philharmonic hall . HOAX caller was detained
149,7/22/2015,CACHE/FOUND,"Explosives seized after a search done by border patrols 10 TNT blocks, along with rocket launchers and hand grenades"
150,7/22/2015,VOIED,An IED was found close to a gas station  Pressure plate
151,7/20/2015,UNKNOWN,The trunk of a car owned by a bussinesmen was blown up Reasons of explosion are not clear (It could be an accident instead an IED)
152,7/20/2015,UNKNOWN,"A device blew up at the door of Caf_ ""Liberty"" Richelieu Street (04:00 AM)"
153,7/19/2015,UNKNOWN,A car was blown up Akademika Pavlova Street
154,7/19/2015,CACHE/FOUND,"A device was found under a house and disposed 2 TM-62M landmines as main charge, TNT block as booster and detonators"
155,7/19/2015,CACHE/FOUND,"A suspect was detained after a search in his house 8 TNT blocks, plastic explosive and 15 electric detonators, plus weapons"
156,7/16/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive 2 sites: Hotel ""Khrarkov"" & Migration Service office (Rymarska Street)"
157,7/15/2015,CACHE/FOUND,"Explosives were seized after the detention of a suspect of attacks About 50 Kg of explosives and detonators, along with weapons"
158,7/15/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive 5 governmental facilities
159,7/15/2015,CACHE/FOUND,"A suspect was detained when trying to lay an IED near a train station ""Kharkiv-Pasazhyrskiy"" station. 2,5 Kg TNT"
160,7/14/2015,CACHE/FOUND,An IED manufacturer was detained Involved in some IED attacks in Odessa. Components of IEDs were seized
161,7/14/2015,UNKNOWN,IED attack against a secondary door of an Office of District Police Yuri Lipa Street. Todays second IED attack against Police Stations in Lviv
162,7/14/2015,UNKNOWN,A device blew up in the entrance to an Office of District Police Plugova Street
163,7/14/2015,UNKNOWN,The car of the secretary of DNR Head was attacked with an IED Kuibyshev  district (Potential Underbelly under passenger seat)
164,7/14/2015,CACHE/FOUND,"Explosives were seized from a car search in a Police check point 4 blocks of TNT, 1200 gr of plastic explosive, 3 detonators, and weapons"
165,7/9/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive 4 government sites all around the city
166,7/9/2015,TIME DELAY,"IED was disposed in a bus stop near central market 200 gr TNT, mechanical time delay switch, batteries, and metal pieces"
167,7/8/2015,CACHE/FOUND,A guy was detained when trying to lie a device in a bakery plant He confessed a group threated him and his family in order to do it
168,7/7/2015,UNKNOWN,"There was a detonation in a kiosk close to a bus stop Bus stop ""Shevchenko Park"". A gas cilinder blew up (TBC if IED or accident)"
169,7/7/2015,UNKNOWN,A bridge over Kalmius river affected by the detonation of a device 
170,7/7/2015,CACHE/FOUND,2 Kg of TNT were found along with hand grenades and ammunition Near a water station in Svyatoshinsky district 
171,7/6/2015,CACHE/FOUND,"Two servicemen were detained in a minibus with explosives Road Zhytomyr- Chernivtsi . 3 Kg of flash powder, TNT"
172,7/6/2015,CACHE/FOUND,"A cache with explosives was found in a destroyed plant 10 Kg TNT plus electric detonators, landmines, hand grenadesƒ"
173,7/5/2015,UNKNOWN,An IED close to a billboard was disposed by Police Between Cosmonauts St and General Petrov St. Reported as RCIED (TBC)
174,7/5/2015,CACHE/FOUND,Detention of a group planning to blown a bridge up Explosives seized. They planned to attack Ingul & Varvarovskogo bridges.
175,7/4/2015,CACHE/FOUND,A cache protected by IEDs was found Some IEDs were found along with hand grenades and ammunition
176,7/4/2015,UNKNOWN,IED was detonated against a political party local office Office of political party ‚???????????é (Fatherland).
177,7/3/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Rymarska Street
178,7/2/2015,UNKNOWN,"A device was blown up against a restaurant ""?????????"" (Angelov) Caf_ (400-650 gr TNT equivalent). "
179,7/2/2015,CACHE/FOUND,About 4 Kg of explosive were found in a weapons cache Darnitsky district
180,7/1/2015,CACHE/FOUND,"During the detention of suspects, explosives were seized 400 grams of TNT along with weapons"
181,7/1/2015,UNKNOWN,IED attack damaged railroad and a locomotive 
182,7/1/2015,UNKNOWN,"A device was blown up close to a university hostel Near ""Oleksiivska"" Metro Station. Two more explosions reported during night"
183,7/1/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Against a gas pipeline. Caller was identified and detained.
184,6/30/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Rymarska Street
185,6/29/2015,CACHE/FOUND,"Explosives and components for IEDs were seized Along with weapons, during the detention of a suspect group"
186,6/27/2015,CACHE/FOUND,"Explosives and weapons were found inside a private house About one hundred TNT blocks, three kilos of plastic explosive, detonators"
187,6/26/2015,UNKNOWN,A portion of railway was blown up 
188,6/26/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Legal College, owned by Peoples Deputy Sergey Kivalov,  in Biskvitny Lane "
189,6/26/2015,CACHE/FOUND,Some explosives were found after the detention of suspects 
190,6/25/2015,UNKNOWN,A device detonated when trying to open an abandoned bag Possible VOIED
191,6/25/2015,CACHE/FOUND,"A roadside IED was found Electric detonator, TNT block & VOG-25 grenade as main cahrge"
192,6/25/2015,UNKNOWN,A patrol car was blown up in front of its Police Station Chuprinky Street. VAZ-2109 car of Frankivskiy district Police Department 
193,6/24/2015,CACHE/FOUND,Explosives were found during a search after some detentions 25 + 12 Kg of plastic explosive found in the house of a suspectÇs parents
194,6/24/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Central railway station
195,6/23/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Against District Court
196,6/22/2015,UNKNOWN,"IEDs were detonated against offices of ""Sberbank of Russia"" Akhmatova Street & Kurenivka Street"
197,6/20/2015,UNKNOWN,Road bridge between Popasna and Troyitske was blown up 
198,6/17/2015,CACHE/FOUND,"2 suspected IEDs were found laid under railway TM-62M landmines as main charge. No evidence of switch, possible HOAX"
199,6/17/2015,UNKNOWN,A civilian was injured by a device activated through tripwire It is not clear if it was a landmine or an IED
200,6/16/2015,UNKNOWN,IED was detonated against Sdovoba party local office 
201,6/16/2015,HOAX/FALSE,Suspicious IED - First Responders action - no explosive Liberty Square
202,6/16/2015,CACHE/FOUND,Explosives were seized durig the detntion of suspects TNT
203,6/16/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Against ""Derzhprom"" & ""Universytet "" metro station in Svobody Square"
204,6/15/2015,UNKNOWN,IED used against residence of Regional State governor 
205,6/13/2015,UNKNOWN,A soldier was killed due to the detonation of an IED 
206,6/12/2015,UNKNOWN,IED attack against a railway bridge 6 more IEDs were found. Artillery shells açused as main charge.
207,6/12/2015,UNKNOWN,A device was blown up In the crossing of Admiralsky Avenue and Krasnova Street
208,6/12/2015,UNKNOWN,IED attack against a railway bridge 
209,6/12/2015,UNKNOWN,A device was blown up against a billboard with patriotic message (200 gr TNT equ) Between Velika Arnautska St & Staroportofranskivska St
210,6/11/2015,CACHE/FOUND,2 suspects were detained while transporting explosive and weapons 370 gr of plastic explosive
211,6/11/2015,UNKNOWN,"A device was blown up against railway Between ""Yasinovataya"" & ""Skotovataya"" stations"
212,6/10/2015,CACHE/FOUND,12 Kg of plastic explosive were seized after a detention of suspects 
213,6/9/2015,CACHE/FOUND,"Explosive and weapons were seized inside a car during a road control Some quantities of TNT and plastic explosive, along with rockets"
214,6/9/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Against ""Derzhprom"" & ""Universytet "" metro station"
215,6/8/2015,CACHE/FOUND,"A man was detained while trying to use an IED against a gas pipeline Urengoy_Pomary_Uzhgorod pipeline, near ""Ukrtransgaz""operation center "
216,6/7/2015,UNKNOWN,A homemade sea mine detonated against a patrol boat The boat was leaving the Korabelno bay. It was reported as WBIED
217,6/4/2015,HOAX/FALSE,Suspicious IED - First Responders action - no explosive In the Rada (City Council) in Khrestchatyk Street
218,6/4/2015,UNKNOWN,A fridge train was affected by the detonation of a device 2 devices detonated in both sides of railway (total 10 Kg TNT equivalent)
219,6/4/2015,CACHE/FOUND,Suspect arrested trying to use an IED against a railway bridge TM-62 mine main charge + cellphone switch. Kupyansk-Svyatogorsk way.
220,6/4/2015,CACHE/FOUND,IED was found. Mortar grenade with plastic explosive as main charge. Search after an attack with 2 MON-50 mines against a civilian car
221,6/3/2015,CACHE/FOUND,"Suspect arrested trying to use an IED against a military  fuel depot TM-62 mine + SPM charge, cellphone as switch, electric detonator"
222,6/2/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Against ""Derzhprom"" & ""Universytet "" metro station in Svobody Square"
223,6/2/2015,HOAX/FALSE,Suspicious IED - First Responders action - no explosive Lenins Avenue
224,6/1/2015,UNKNOWN,A device was command detonated in a residential area 
225,5/31/2015,CACHE/FOUND,"Three elements of a criminal group were arrested, explosives seized 8 Kg of TNT/plastic explosive and 240 electric detonators. "
226,5/31/2015,UNKNOWN,Two civilians died after an IED detonation 
227,5/30/2015,UNKNOWN,A fiherman died after the detonation of a device in the seaport Officials related the device with the one against a patrol boat (07 Jun 2015)
228,5/29/2015,HOAX/FALSE,Suspicious IED - First Responders action - no explosive Schevchenko Boulevard
229,5/29/2015,CACHE/FOUND,"A device was discovered by Security Forces 120 mm mortar projectile as a main charge, attached to a RC switch"
230,5/29/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Against a trolleybus
231,5/28/2015,UNKNOWN,IED attack against a ROSHEN store Minskaya Street in Obolon district
232,5/28/2015,UNKNOWN,An IED was detonated in a residential area Dniprovskyi district
233,5/27/2015,VOIED,Soldiers were affected by the detonation of an improvised device 
234,5/27/2015,CACHE/FOUND,Two detainees when trying to lay an IED Bridge over Vovcha river
235,5/25/2015,UNKNOWN,One person was killed due to the detonation of a device 
236,5/23/2015,HOAX/FALSE,Suspicious IED - First Responders action - no explosive Inside a car parked in front of Regional State Administration
237,5/23/2015,UNKNOWN,"An IED was used in an ambush against a separatist leader Alexey Mozgovoy, GHOST BN Commander. In highway Lugansk-Alchevsk"
238,5/23/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Against a night club in Ilyicha Street
239,5/21/2015,CACHE/FOUND,æTwo men were detained with explosives and weapons One block of TNT along with plastic explosive and an electric detonator
240,5/20/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Against the National Palace of Arts
241,5/20/2015,CACHE/FOUND,"Explosives were found during the detention of a suspect 5 Kg of TNT, detonating cord & detonators"
242,5/19/2015,CACHE/FOUND,"A man was detained accused of selling explosives 17,5 Kg of TNT were seized"
243,5/18/2015,UNKNOWN,A device was detonated against railroad Between Sentanovka and Shipilovo train stations
244,5/16/2015,UNKNOWN,"An IED was blown up against a politicianÍs house MP Andrey Ilyenko, Svodoba party. Against a window of the house"
245,5/15/2015,UNKNOWN,An woman was injured by the detonation of an emplaced IED 
246,5/15/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Metro station ""Akademika Barabashova"""
247,5/15/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Peresado?nyh metro station
248,5/15/2015,CACHE/FOUND,Explosives and weapons were found Close to a thermal power station
249,5/14/2015,UNKNOWN,A device was blown up in front of Odessa College of Railway Transport Inside communications box Alekseevskaya Square. 400 gr TNT equivalent
250,5/13/2015,UNKNOWN,A man died after an IED was blown up inside his car Under the driverÇs seat
251,5/13/2015,UNKNOWN,Railroad was affected by the detonation of a device In a suburb of the city. 3 Kg TNT equivalent
252,5/13/2015,CACHE/FOUND,Almost 8 Kg of explosive seized during a detention 
253,5/12/2015,UNKNOWN,A railway bridge was affected by the detonation of a device Maloskova Street
254,5/12/2015,CACHE/FOUND,An IED was found in a pipeline platform Solontsevaty Lane
255,5/11/2015,UNKNOWN,A man died after the detonation of a device Artyom Street
256,5/10/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Kiev international airport (Zhulyany)
257,5/10/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive In Kulikovo Field (Pole Square), against a Trade UnionsÍ House "
258,5/9/2015,CACHE/FOUND,A civilian was detained while trying to blow a fuel tank up 
259,5/8/2015,CACHE/FOUND,Explosives seized during a car check 19 blocks of TNT (7.6 Kg)
260,5/8/2015,CACHE/FOUND,Explosives were found during a vehicle control 400 gr of explosive
261,5/6/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Against the Kiev District Court
262,5/6/2015,CACHE/FOUND,A device composed by two ATGM and a hand grenade was found 
263,5/5/2015,CACHE/FOUND,"Some IEDs were found during a search with Explosive Detection Dogs In Lysa Hora memorial complex, before a ceremony to start"
264,5/5/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Against a military dormitory. One drunk sergeant was detained as suspect
265,5/5/2015,CACHE/FOUND,"Explosives were found in a van during a road control Suspect was detained with some weapons, a 400 gr TNT block and a fuze"
266,5/3/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Against a nuclear plant power station
267,5/2/2015,CACHE/FOUND,A guy was detained while trying to blow a fortification up 1.2 Kg of TNT plus detonators were seized
268,5/2/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Against Shirokolanovsky gas-supplying station
269,5/2/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive ""Vokzalnaya"" metro station"
270,5/1/2015,CACHE/FOUND,3 guys were detained and some explosives and fuzes were seized Suspects of 7 IED attacks
271,4/29/2015,CACHE/FOUND,"Explosives were found inside a cache 18 Kg of plastic explosive, fuzes, rockets, grenades and  weapons found"
272,4/29/2015,UNKNOWN,IED was blown up against the roof of a restaurant 
273,4/29/2015,UNKNOWN,"IED attack against railway Km 1168, 170 m of railroad were damaged"
274,4/28/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Against several bridges in Kharkiv and Poltova. Suspect was detained
275,4/28/2015,CACHE/FOUND,Explosives seized during a search operation 3 Kg of plastic explosive and TNT were seized along with another weapons
276,4/28/2015,UNKNOWN,"IED attack against railroad During the movement from ""Kseniyevo"" station to ""Akardzha"" station"
277,4/28/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Against ""Levada"" train station"
278,4/28/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Against ÂKing Cross Leopolis"" shopping  center"
279,4/28/2015,CACHE/FOUND,A car was searched and some explosive s were seized Two improvised hand grenades along with another weapons and ammo
280,4/27/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Against a school
281,4/25/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive ""Pochtovaya Ploshchad"" and ""Kontraktovaya Ploshchad"" stations"
282,4/25/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Culture Centre of Kharkiv electromechanical plan
283,4/25/2015,UNKNOWN,"IED against 2 shunting locomotives During a movement from ""Sentyanivka"" station to""Shipylove"" station"
284,4/25/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Against ""Plant"" Club"
285,4/24/2015,CACHE/FOUND,A women was detained when transporting explosives 4 TNT blocks and some detonators
286,4/24/2015,UNKNOWN,IED detonation against a food store 
287,4/23/2015,UNKNOWN,A flat was blown up Arkhangelkaya Street
288,4/23/2015,UNKNOWN,IED detonation against locomotive freight trains in railway Volnovakha station
